,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other,RF
192701,-0.59,0.82,-0.1,2.12,9.92,4.33,-0.81,5.3,0.48,-1.24,-1.64,-0.14,1.44,-0.77,-0.56,-0.36,4.42,-2.81,1.92,-1.54,2.13,2.33,-1.2,-2.35,1.67,-17.68,-2.45,1.77,-1.79,-3.71,0.25
192702,4.68,13.09,1.75,1.9,1.67,4.83,3.03,1.97,9.95,7.92,4.43,3.93,8.11,4.56,9.82,4.86,5.46,5.9,1.39,4.79,4.23,9.16,5.11,5.72,5.44,3.75,3.73,7.12,2.97,0.54,0.26
192703,2.39,-13.26,5.81,1.32,0.02,0.22,1.2,1.31,6.37,-5.08,3.76,1.78,-1.94,0.7,1.86,-1.46,4.74,5.75,-6.71,0.67,5.86,-7.5,4.59,-9.37,1.32,-20.17,0,-2.12,1.22,2.48,0.3
192704,2.97,3.1,4.26,-3.52,-0.71,1.69,6.2,2.99,3.2,0.71,-0.7,-0.09,2.07,6.54,3.16,-0.5,3.27,1.2,-5.53,1.96,-1.88,3.69,3.35,5.18,0.96,-10.5,4.63,6.17,2.7,5.52,0.25
192705,6.43,11.92,12.1,0.48,3.43,10.84,3.67,4.42,4.15,13.51,7.81,3.52,9.04,8.53,5.84,11.32,0.55,3.49,5.3,9.51,3.65,18.63,5.4,5.66,7.36,-3.71,2.54,5,10.33,1.94,0.3
192706,-1.96,10.31,-2.04,-7.48,12.8,-2.77,1.43,0.8,-1.46,2.55,-4.43,-3.16,-2.03,3.73,-3.11,-3.64,-1.67,-3.09,-2.88,-3.31,-1.88,-6.54,2.99,5.7,-1.76,-3.92,-0.44,1.57,0.2,-3.56,0.26
192707,5.34,4.89,4.69,1.44,2.08,5.8,6.31,10.14,17.99,4.65,6.65,10.63,9.91,14.99,14.01,12.29,9.02,2.49,3.21,5.61,4.03,2.45,6.49,12.32,6.27,11.41,10.41,4.98,6.8,7.11,0.3
192708,2.61,-3.7,4.11,6.48,5.74,0.8,1.84,0.56,2.38,0.77,-0.89,4.25,1.18,7.34,7.6,4.25,1.25,2.71,0.02,3.71,0.71,8.34,2.53,4.04,-1.38,-2.3,7.96,0.83,2.09,6.2,0.28
192709,6.25,7.22,4.84,4.39,10.25,2.74,4.86,5.86,6.18,2.1,4.77,3.98,5.51,0.32,6.49,3.94,7.04,1.67,3.71,8.5,6.74,2.36,4.38,3.58,4.53,5.81,7.82,6.15,6.19,0.64,0.21
192710,-2.21,-0.55,-0.07,0.51,2.88,-1.59,9.9,5.38,-7.21,-2.14,-4.29,-7.57,-4.96,-7.97,-4.3,-6.46,-2.92,-5.08,-1.48,-4.09,-1.84,5.22,-4.41,0.39,-4.36,-21.53,-4.78,-1.5,4.26,-3.37,0.25
192711,7.38,10.5,6.9,3.79,16.83,2.94,2.27,3.89,9.25,5.32,5.74,12.65,11.71,11.59,6.98,8.35,8.45,7.69,4.08,6.53,3.04,2.51,9.59,17.08,4.13,-1.09,12.32,3.22,8.13,11.4,0.21
192712,3.75,12.94,1.25,3.03,3.49,10.53,0.07,-0.24,-0.01,2.63,0.27,6.06,3.14,1.41,7.89,2.98,13.65,-3.11,1.5,2.46,1.55,-7.61,1.52,1.26,0.29,11.67,-0.44,-1.34,11.39,1.29,0.22
192801,2.79,0.87,-2.31,-0.12,5.41,3.92,7.32,2.94,-0.83,-0.85,2.09,-2.17,-0.99,-0.76,-2.9,4.44,-1.41,-3.54,-1.44,6.12,0.55,0.81,1.43,1.76,-1,-0.7,-0.6,-1.33,1.73,-3.13,0.25
192802,-2.63,-4.89,-5.64,-0.56,-1.42,0.32,-2.12,-1.05,1.06,-4.44,1.91,-2.39,-2.43,-1.13,1.27,-4.27,-7.26,-1,0.21,-0.35,0.03,-0.19,2.35,1.19,-1.05,-7.96,-0.71,-2.26,-2.57,-2.35,0.33
192803,5.4,14.76,2.63,9.11,5.55,10.28,4.28,10.83,13.45,7.92,6.88,6.45,6.79,26.46,28.15,6.82,7.66,5.52,5.62,6.91,2.25,-2.15,3.52,11.37,6.01,8.41,8.98,3.76,9.85,9.14,0.29
192804,2.91,5.09,-5.73,5.62,21.45,3.81,10.18,2.57,-0.04,-3.82,3.12,1.65,3.7,2.66,1.31,2.5,-0.35,2.17,16.47,11.16,3.44,2.64,1.82,-0.03,4.67,-5.63,0.19,0.69,9.41,11.17,0.22
192805,1.92,5.8,0.29,2.17,18,-2.2,-0.67,9.59,3.3,-5.79,-0.11,5.84,5.11,2.08,6.22,-1.31,1.48,0.81,-5.4,1.83,6.93,1.1,4.2,6.45,-0.12,8.27,3.76,14.44,2.38,-0.48,0.32
192806,-3.62,-3.9,-3.99,-4.74,-10.47,-6.36,-6.82,-2.84,-2.64,-10.3,-3.55,-5.53,-2.88,-5.4,-3.76,-5.54,-3.25,-5.77,-3.6,-3.12,-4.91,-4.94,-2.75,-5.43,-3.55,-7.1,-3.09,-2.5,-9.65,-11.64,0.31
192807,1.38,1.02,3.67,1.88,1.45,1,0.85,2.71,2.14,-3.38,2.24,3.06,0.73,-0.69,1.6,-1.23,-0.92,-0.7,1.5,-0.92,-0.96,-4.62,5.66,4.66,-0.02,0.67,6.04,-0.28,0.65,-0.48,0.32
192808,8.17,12.72,4.11,9.8,6.8,9.87,0.5,14.89,9.21,2.23,4.7,9.95,7.9,12.62,9.42,6.26,8.5,2.16,2.76,6.78,4.87,15.48,3.33,13.01,4.35,4.38,14.01,12.69,5.48,13.1,0.32
192809,2.01,0.53,-0.12,11.29,-2.09,10.74,-0.86,-0.87,4.04,3.84,5.57,5.85,4.09,0.54,8.49,-0.17,3.28,-0.79,6.01,4.03,0.42,0.1,2.08,-1.35,0.59,1.32,0.43,0.25,2.1,-3.79,0.27
192810,-0.06,4.45,3.85,-0.8,6.03,8.56,-3.14,0.46,5.64,6.37,6.31,6.92,2.54,2.51,0.37,-0.89,3.83,-1.28,2.67,-1.48,3.38,5.63,1.54,-5.06,-0.9,18.66,6.51,-1.78,3.02,-4.8,0.41
192811,7,6.08,7.17,10.78,1.39,16.96,2.94,5.43,12.77,9.47,9.68,15.28,16.16,23.88,5.08,10.51,15.49,6.7,18.23,22.31,7.06,18.15,8.6,5.48,9.66,12.33,15.9,9.89,10.32,4.15,0.38
192812,0.62,-3.78,-1.86,-0.6,-0.43,-3.57,-0.32,-0.35,2.39,-5.81,1.15,3.9,3.36,7.09,0.04,1.39,2.02,-0.52,-4.49,1.63,-0.32,-7.57,7.55,1.77,0.27,-3.79,-1.18,-3.04,1.12,-12.53,0.06
